listing_id,date,available,price,day
65834,2019-10-02,t,175.0,1
65834,2019-10-01,t,175.0,1
65834,2019-09-30,t,175.0,1
65834,2019-09-29,t,175.0,0
65834,2019-09-28,t,180.0,0
65834,2019-09-27,t,180.0,1
65834,2019-09-26,t,175.0,1
65834,2019-09-25,t,175.0,1
65834,2019-09-24,t,175.0,1
65834,2019-09-23,t,175.0,1
65834,2019-09-22,t,175.0,0
65834,2019-09-21,t,180.0,0
65834,2019-09-20,t,180.0,1
65834,2019-09-19,t,175.0,1
65834,2019-09-18,t,175.0,1
65834,2019-09-17,t,175.0,1
65834,2019-09-16,t,175.0,1
65834,2019-09-15,t,175.0,0
65834,2019-09-14,t,180.0,0
65834,2019-09-13,t,180.0,1
65834,2019-09-12,t,175.0,1
65834,2019-09-11,t,175.0,1
65834,2019-09-10,t,175.0,1
65834,2019-09-09,t,175.0,1
65834,2019-09-08,t,175.0,0
65834,2019-09-07,t,180.0,0
65834,2019-09-06,t,180.0,1
65834,2019-09-05,t,175.0,1
65834,2019-09-04,t,175.0,1
65834,2019-09-03,t,175.0,1
65834,2019-09-02,t,175.0,1
65834,2019-09-01,t,175.0,0
65834,2019-08-31,t,180.0,0
65834,2019-08-30,t,180.0,1
65834,2019-08-29,t,175.0,1
65834,2019-08-28,t,175.0,1
65834,2019-08-27,t,175.0,1
65834,2019-08-26,t,175.0,1
65834,2019-08-25,t,175.0,0
65834,2019-08-24,t,180.0,0
65834,2019-08-23,t,180.0,1
65834,2019-08-22,t,175.0,1
65834,2019-08-21,t,175.0,1
65834,2019-08-20,t,175.0,1
65834,2019-08-19,t,175.0,1
65834,2019-08-18,t,175.0,0
65834,2019-08-17,t,180.0,0
65834,2019-08-16,t,180.0,1
65834,2019-08-15,t,175.0,1
65834,2019-08-14,t,175.0,1
65834,2019-08-13,t,175.0,1
65834,2019-08-12,t,175.0,1
65834,2019-08-11,t,175.0,0
65834,2019-08-10,t,180.0,0
65834,2019-08-09,t,180.0,1
65834,2019-08-08,t,175.0,1
65834,2019-08-07,t,175.0,1
65834,2019-08-06,t,175.0,1
65834,2019-08-05,t,175.0,1
65834,2019-08-04,t,175.0,0
65834,2019-08-03,t,180.0,0
65834,2019-08-02,t,180.0,1
65834,2019-08-01,t,175.0,1
65834,2019-07-31,t,175.0,1
65834,2019-07-30,t,175.0,1
65834,2019-07-29,t,175.0,1
65834,2019-07-28,t,175.0,0
65834,2019-07-27,t,180.0,0
65834,2019-07-26,t,180.0,1
65834,2019-07-25,t,175.0,1
65834,2019-07-24,t,175.0,1
65834,2019-07-23,t,175.0,1
65834,2019-07-22,t,175.0,1
65834,2019-07-21,t,175.0,0
65834,2019-07-20,t,180.0,0
65834,2019-07-19,t,180.0,1
65834,2019-07-18,t,175.0,1
65834,2019-07-17,t,175.0,1
65834,2019-07-16,t,175.0,1
65834,2019-07-15,t,175.0,1
65834,2019-07-14,t,175.0,0
65834,2019-07-13,t,180.0,0
65834,2019-07-12,t,180.0,1
65834,2019-07-11,t,175.0,1
65834,2019-07-10,t,175.0,1
65834,2019-07-09,t,175.0,1
65834,2019-07-08,t,175.0,1
65834,2019-07-07,t,175.0,0
65834,2019-07-06,t,180.0,0
65834,2019-07-05,t,180.0,1
65834,2019-07-04,t,175.0,1
65834,2019-07-03,t,175.0,1
65834,2019-06-20,t,175.0,1
65834,2019-06-19,t,175.0,1
65834,2019-06-18,t,175.0,1
