listing_id,date,available,price,day
2515,2018-09-27,t,99.0,1
2515,2018-09-26,t,99.0,1
2515,2018-09-25,t,99.0,1
2515,2018-09-24,t,99.0,1
2515,2018-09-23,t,99.0,0
2515,2018-09-22,t,99.0,0
2515,2018-09-21,t,99.0,1
2515,2018-09-20,t,99.0,1
2515,2018-09-19,t,99.0,1
2515,2018-09-18,t,99.0,1
2515,2018-09-17,t,99.0,1
2515,2018-09-16,t,99.0,0
2515,2018-09-15,t,99.0,0
2515,2018-09-14,t,99.0,1
2515,2018-09-13,t,99.0,1
2515,2018-09-12,t,99.0,1
2515,2018-09-11,t,99.0,1
2515,2018-09-10,t,99.0,1
2515,2018-09-09,t,99.0,0
2515,2018-09-08,t,99.0,0
2515,2018-09-07,t,99.0,1
2515,2018-09-06,t,99.0,1
2515,2018-09-05,t,99.0,1
2515,2018-09-04,t,99.0,1
2515,2018-09-03,t,99.0,1
2515,2018-09-02,t,99.0,0
2515,2018-09-01,t,99.0,0
2515,2018-08-31,t,99.0,1
2515,2018-08-30,t,99.0,1
2515,2018-08-29,t,99.0,1
2515,2018-08-28,t,99.0,1
2515,2018-08-27,t,99.0,1
2515,2018-08-26,t,99.0,0
2515,2018-08-25,t,99.0,0
2515,2018-08-24,t,99.0,1
2515,2018-08-23,t,99.0,1
2515,2018-08-22,t,99.0,1
2515,2018-08-21,t,99.0,1
2515,2018-08-20,t,99.0,1
2515,2018-08-19,t,99.0,0
2515,2018-08-18,t,99.0,0
2515,2018-08-05,t,99.0,0
2515,2018-08-04,t,99.0,0
2515,2018-08-03,t,99.0,1
2515,2018-08-02,t,99.0,1
2515,2018-08-01,t,99.0,1
2515,2018-07-31,t,99.0,1
2515,2018-07-30,t,99.0,1
2515,2018-07-29,t,99.0,0
2515,2018-07-28,t,99.0,0
2515,2018-07-27,t,99.0,1
2515,2018-07-26,t,99.0,1
2515,2018-07-25,t,99.0,1
2515,2018-07-24,t,99.0,1
2515,2018-07-23,t,99.0,1
2515,2018-07-22,t,99.0,0
2515,2018-07-21,t,99.0,0
2515,2018-07-20,t,99.0,1
2515,2018-07-19,t,99.0,1
2515,2018-07-18,t,99.0,1
2515,2018-07-17,t,99.0,1
2515,2018-07-16,t,99.0,1
2515,2018-07-15,t,99.0,0
2515,2018-07-14,t,99.0,0
2515,2018-07-13,t,99.0,1
2515,2018-07-12,t,99.0,1
